date,location_id,location_name,latitude,longitude,soil_moisture_m3m3,soil_moisture_source
2016-05-12,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.175741,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-05-15,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.149991,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-05-17,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.165022,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-05-20,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.179369,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-05-23,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.162522,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-05-25,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.157671,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-05-28,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.174387,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-05-31,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.16893,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-06-02,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.148094,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-06-05,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.161051,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-06-08,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.159539,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
